,state,city,isThereAuth,count
248,,Monroeville,,4173
249,OH,North Olmsted,,4114
250,,North Olmsted,,4114
251,OH,North Olmsted,False,4054
252,,North Olmsted,False,4054
253,,Monroeville,False,4039
254,PA,Monroeville,False,4039
255,,Litchfield Park,,3946
256,AZ,Litchfield Park,,3946
257,SC,Rock Hill,,3893
258,,Rock Hill,,3893
259,AZ,Litchfield Park,False,3882
260,,Litchfield Park,False,3882
261,QC,,True,3847
262,,Rock Hill,False,3768
263,SC,Rock Hill,False,3768
264,OH,Kent,,3697
265,,Kent,,3697
266,OH,Kent,False,3615
267,,Kent,False,3615
268,,Pineville,,3525
269,NC,Pineville,,3525
270,,Aurora,,3517
271,,Newmarket,,3460
272,ON,Newmarket,,3460
273,OH,Beachwood,,3436
274,OH,Independence,,3436
275,,Independence,,3436
276,,Beachwood,,3436
277,,Aurora,False,3395
278,,Independence,False,3393
279,OH,Independence,False,3393
280,NC,Pineville,False,3349
281,,Pineville,False,3349
282,OH,Beachwood,False,3345
283,,Beachwood,False,3345
284,,Montréal,True,3325
285,QC,Montréal,True,3325
286,,Oakville,,3312
287,,Newmarket,False,3312
288,ON,Newmarket,False,3312
289,ON,Oakville,,3312
290,,Oakville,False,3243
291,ON,Oakville,False,3243
292,,Willoughby,,3241
293,OH,Willoughby,,3241
294,OH,Medina,,3232
295,,Medina,,3232
296,OH,Willoughby,False,3208
297,,Willoughby,False,3208
298,,Medina,False,3195
299,OH,Medina,False,3195
300,OH,Solon,,3163
301,,Solon,,3163
302,OH,Solon,False,3099
303,,Solon,False,3099
304,,Fitchburg,,3058
305,WI,Fitchburg,,3058
306,,Hudson,,3019
307,AZ,Paradise Valley,,3004
308,,Paradise Valley,,3004
309,,Fitchburg,False,2994
310,WI,Fitchburg,False,2994
311,,Montreal,,2970
312,QC,Montreal,,2970
313,,Paradise Valley,False,2955
314,AZ,Paradise Valley,False,2955
315,,Hudson,False,2954
316,,Tempe,True,2936
317,AZ,Tempe,True,2936
318,OH,Hudson,,2933
319,QC,Laval,,2914
320,,Laval,,2914
321,QC,Montreal,False,2910
322,,Montreal,False,2910
323,,Pickering,,2894
324,ON,Pickering,,2894
325,WI,,True,2880
326,OH,Hudson,False,2868
327,,Mesa,True,2845
328,AZ,Mesa,True,2845
329,NC,Davidson,,2843
330,,Davidson,,2843
331,,Laval,False,2834
332,QC,Laval,False,2834
333,,Davidson,False,2819
334,NC,Davidson,False,2819
335,,Pickering,False,2814
336,ON,Pickering,False,2814
337,OH,Avon,,2700
338,,Avon,,2700
339,WI,Sun Prairie,,2698
340,,Sun Prairie,,2698
341,WI,Sun Prairie,False,2657
342,,Sun Prairie,False,2657
343,OH,Avon,False,2647
344,,Avon,False,2647
345,,Homestead,,2580
346,PA,Homestead,,2580
347,ON,Ajax,,2548
348,,Ajax,,2548
349,PA,Homestead,False,2546
350,,Homestead,False,2546
351,PA,Bridgeville,,2506
352,,Bridgeville,,2506
353,PA,Bridgeville,False,2484
354,,Bridgeville,False,2484
355,,Ajax,False,2479
356,ON,Ajax,False,2479
357,,Indian Trail,,2476
358,NC,Indian Trail,,2476
359,,Wexford,,2463
360,PA,Wexford,,2463
361,WI,Madison,True,2461
362,,Madison,True,2461
363,OH,Woodmere,,2433
364,,Woodmere,,2433
365,,Wexford,False,2417
366,PA,Wexford,False,2417
367,NC,Belmont,,2405
368,,Belmont,,2405
369,AZ,Chandler,True,2398
370,,Chandler,True,2398
371,NC,Belmont,False,2387
372,,Belmont,False,2387
373,,Woodmere,False,2374
374,OH,Woodmere,False,2374
375,,Indian Trail,False,2367
376,NC,Indian Trail,False,2367
377,OH,Cleveland,True,2360
378,,Cleveland,True,2360
379,,Stow,,2339
380,OH,Stow,,2339
381,NV,Henderson,True,2313
382,,Henderson,True,2313
383,,Chagrin Falls,,2312
384,OH,Chagrin Falls,,2312
385,OH,Stow,False,2293
386,,Stow,False,2293
387,OH,Chagrin Falls,False,2275
388,,Chagrin Falls,False,2275
389,ON,Whitby,,2256
390,,Whitby,,2256
391,,Lyndhurst,,2252
392,OH,Lyndhurst,,2252
393,OH,Lyndhurst,False,2203
394,,Lyndhurst,False,2203
395,,Whitby,False,2192
396,ON,Whitby,False,2192
397,ON,Aurora,,2171
398,ON,Woodbridge,,2104
399,,Woodbridge,,2104
400,ON,Aurora,False,2084
401,AB,,True,2036
402,,Woodbridge,False,2024
403,ON,Woodbridge,False,2024
404,,Coraopolis,,2022
405,PA,Coraopolis,,2022
406,,Calgary,True,2000
407,AB,Calgary,True,2000
408,,Coraopolis,False,1975
409,PA,Coraopolis,False,1975
410,,Berea,,1924
411,OH,Berea,,1924
412,OH,Berea,False,1873
413,,Berea,False,1873
414,OH,Fairlawn,,1860
415,,Fairlawn,,1860
416,OH,Fairlawn,False,1834
417,,Fairlawn,False,1834
418,,Carnegie,,1769
419,PA,Carnegie,,1769
420,,Waxhaw,,1748
421,NC,Waxhaw,,1748
422,,Carnegie,False,1743
423,PA,Carnegie,False,1743
424,,Verona,,1733
425,,Waxhaw,False,1715
426,NC,Waxhaw,False,1715
427,WI,Monona,,1700
428,,Monona,,1700
429,,Verona,False,1700
430,,Canonsburg,,1674
431,PA,Canonsburg,,1671
432,,Monona,False,1652
433,WI,Monona,False,1652
434,,Mayfield Heights,,1639
435,OH,Mayfield Heights,,1639
436,,Carefree,,1629
437,AZ,Carefree,,1629
438,ON,Unionville,,1623
439,,Unionville,,1623
440,,Canonsburg,False,1616
441,PA,Canonsburg,False,1613
442,,Mayfield Heights,False,1609
443,OH,Mayfield Heights,False,1609
444,AZ,Carefree,False,1592
445,,Carefree,False,1592
446,,Sun City,,1589
447,AZ,Sun City,,1589
448,,Unionville,False,1562
449,ON,Unionville,False,1562
450,,Bethel Park,,1544
451,PA,Bethel Park,,1544
452,AZ,Sun City,False,1534
453,,Sun City,False,1534
454,OH,Fairview Park,,1532
455,,Fairview Park,,1532
456,PA,Bethel Park,False,1515
457,,Bethel Park,False,1515
458,,Mississauga,True,1514
459,ON,Mississauga,True,1514
460,NV,Spring Valley,,1508
461,,Spring Valley,,1508
462,NV,Spring Valley,False,1497
463,,Spring Valley,False,1497
464,,Tolleson,,1461
465,AZ,Tolleson,,1461
466,,Fairview Park,False,1459
467,OH,Fairview Park,False,1459
468,OH,Brunswick,,1454
469,,Brunswick,,1454
470,QC,Brossard,,1449
471,,Brossard,,1449
472,,Avon Lake,,1433
473,OH,Avon Lake,,1433
474,,Twinsburg,,1431
475,OH,Twinsburg,,1431
476,,Brunswick,False,1428
477,OH,Brunswick,False,1428
478,,Elyria,,1427
479,OH,Elyria,,1427
480,,Tolleson,False,1421
481,AZ,Tolleson,False,1421
482,,Verdun,,1412
483,QC,Verdun,,1412
484,OH,Elyria,False,1403
485,,Elyria,False,1403
486,OH,Twinsburg,False,1401
487,,Twinsburg,False,1401
488,,Brossard,False,1392
489,QC,Brossard,False,1392
490,,Avon Lake,False,1385
491,OH,Avon Lake,False,1385
492,,Verdun,False,1362
493,QC,Verdun,False,1362
494,ON,Markham,True,1358
495,,Markham,True,1358
496,OH,Aurora,,1346
497,AZ,Glendale,True,1324
498,,Glendale,True,1324
499,OH,Aurora,False,1311
500,OH,Broadview Heights,,1308
501,,Broadview Heights,,1308
502,PA,Sewickley,,1307
503,,Sewickley,,1307
504,WI,Verona,,1304
505,PA,Sewickley,False,1297
506,,Sewickley,False,1297
507,WI,Verona,False,1292
508,OH,Broadview Heights,False,1270
509,,Broadview Heights,False,1270
510,,Queen Creek,,1256
511,AZ,Queen Creek,,1256
512,,Denver,,1254
513,NC,Denver,,1254
514,NC,Harrisburg,,1252
515,,Harrisburg,,1252
516,AZ,Queen Creek,False,1250
517,,Queen Creek,False,1250
518,NC,Denver,False,1245
519,,Denver,False,1245
520,,North Royalton,,1236
521,OH,North Royalton,,1236
522,,Brooklyn,,1222
523,,North Royalton,False,1212
524,OH,North Royalton,False,1212
525,ON,Concord,,1208
526,AZ,Gilbert,True,1206
527,,Gilbert,True,1206
528,OH,Middleburg Heights,,1205
529,,Middleburg Heights,,1205
530,,Dallas,,1203
531,OH,Brooklyn,,1201
532,NC,Harrisburg,False,1198
533,,Harrisburg,False,1198
534,,Dallas,False,1195
535,OH,Middleburg Heights,False,1195
536,,Middleburg Heights,False,1195
537,,Brooklyn,False,1185
538,OH,Painesville,,1182
539,,Painesville,,1182
540,OH,Streetsboro,,1179
541,,Streetsboro,,1179
542,OH,Brooklyn,False,1165
543,OH,Macedonia,,1159
544,,Macedonia,,1159
545,,Streetsboro,False,1155
546,OH,Streetsboro,False,1155
547,AZ,Laveen,,1154
548,,Laveen,,1154
549,,Laveen,False,1144
550,AZ,Laveen,False,1144
551,,Painesville,False,1128
552,OH,Painesville,False,1128
553,OH,Macedonia,False,1127
554,,Macedonia,False,1127
555,ON,Concord,False,1115
556,,East York,,1112
557,ON,East York,,1112
558,,Saint-Laurent,,1079
559,,Dollard-des-Ormeaux,,1079
560,QC,Dollard-des-Ormeaux,,1079
561,QC,Saint-Laurent,,1079
562,PA,Murrysville,,1063
563,,Murrysville,,1063
564,ON,East York,False,1062
565,,East York,False,1062
566,IL,,True,1052
567,QC,Dollard-des-Ormeaux,False,1050
568,,Dollard-des-Ormeaux,False,1050
569,PA,Murrysville,False,1041
570,,Murrysville,False,1041
571,,Saint-Laurent,False,1026
572,QC,Saint-Laurent,False,1026
573,NC,Monroe,,1026
574,,Monroe,,1026
575,OH,Amherst,,1015
576,,Amherst,,1015
577,TX,,,1010
578,TX,Dallas,,1010
579,,Brecksville,,1004
580,OH,Brecksville,,1004
581,,Monroe,False,1003
582,OH,Amherst,False,1003
583,,Amherst,False,1003
584,NC,Monroe,False,1003
585,TX,Dallas,False,1002
586,TX,,False,1002
587,OH,Brecksville,False,1001
588,,Brecksville,False,1001
589,OH,Valley View,,976
590,,Valley View,,976
591,,McMurray,,973
592,PA,McMurray,,973
593,OH,Valley View,False,972
594,,Valley View,False,972
595,,McMurray,False,964
596,PA,McMurray,False,964
597,AZ,Buckeye,,953
598,,Buckeye,,953
599,NC,Mint Hill,,944
600,,Mint Hill,,944
601,OH,Chesterland,,942
602,,Chesterland,,942
603,,Buckeye,False,934
604,AZ,Buckeye,False,934
605,NC,Mint Hill,False,929
606,,Mint Hill,False,929
607,,Oakmont,,923
608,PA,Oakmont,,923
609,,Chesterland,False,921
610,OH,Chesterland,False,921
611,,Oakmont,False,920
612,PA,Oakmont,False,920
613,WI,Stoughton,,884
614,,Stoughton,,884
615,,Northfield,,883
616,OH,Northfield,,883
617,,York,,877
618,,Airdrie,,877
619,AB,Airdrie,,877
620,WI,Stoughton,False,869
621,,Stoughton,False,869
622,,Northfield,False,859
623,OH,Northfield,False,859
624,IL,Champaign,True,857
625,,Champaign,True,857
626,ON,York,,853
627,QC,Pointe-Claire,,847
628,,Pointe-Claire,,847
629,,Airdrie,False,846
630,AB,Airdrie,False,846
631,,Ahwatukee,,837
632,AZ,Ahwatukee,,837
633,AZ,Ahwatukee,False,834
634,,Ahwatukee,False,834
635,,Pointe-Claire,False,830
636,QC,Pointe-Claire,False,830
637,,South Euclid,,829
638,OH,South Euclid,,829
639,,York,False,826
640,,Richmond Hill,True,823
641,ON,Richmond Hill,True,823
642,,Indian Land,,820
643,SC,Indian Land,,820
644,,El Mirage,,818
645,AZ,El Mirage,,818
646,,University Heights,,811
647,OH,University Heights,,811
648,,South Euclid,False,808
649,OH,South Euclid,False,808
650,,University Heights,False,806
651,OH,University Heights,False,806
652,ON,York,False,802
653,SC,Lake Wylie,,797
654,,Lake Wylie,,797
655,SC,Indian Land,False,796
656,,Indian Land,False,796
657,,Dorval,,792
658,QC,Dorval,,792
659,,Lake Wylie,False,791
660,SC,Lake Wylie,False,791
661,OH,Highland Heights,,784
662,,Highland Heights,,784
663,,Dorval,False,782
664,QC,Dorval,False,782
665,SC,Tega Cay,,781
666,,Tega Cay,,781
667,,Kannapolis,,778
668,NC,Kannapolis,,778
669,,El Mirage,False,777
670,AZ,El Mirage,False,777
671,,Orange Village,,776
672,OH,Orange Village,,776
673,OH,Euclid,,765
674,,Euclid,,765
675,SC,Tega Cay,False,760
676,,Tega Cay,False,760
677,,Highland Heights,False,755
678,OH,Highland Heights,False,755
679,OH,Euclid,False,754
680,,Kannapolis,False,754
681,NC,Kannapolis,False,754
682,,Euclid,False,754
683,PA,Allison Park,,746
684,,Allison Park,,746
685,,Westmount,,745
686,QC,Westmount,,745
687,QC,Westmount,False,738
688,,Westmount,False,738
689,PA,Allison Park,False,734
690,,Allison Park,False,734
691,AZ,Anthem,,731
692,,Anthem,,731
693,,Lorain,,730
694,OH,Lorain,,730
695,,Orange Village,False,724
696,OH,Orange Village,False,724
697,OH,Lorain,False,715
698,,Lorain,False,715
699,,West Mifflin,,710
700,PA,West Mifflin,,710
701,AZ,Anthem,False,697
702,,Anthem,False,697
703,PA,West Mifflin,False,695
704,,West Mifflin,False,695
705,,Moon Township,,692
706,PA,Moon Township,,692
707,PA,Moon Township,False,689
708,,Moon Township,False,689
709,OH,Chardon,,687
710,,Chardon,,687
711,,North Ridgeville,,682
712,OH,North Ridgeville,,682
713,,Chardon,False,678
714,OH,Chardon,False,678
715,OH,Olmsted Falls,,666
716,,Olmsted Falls,,666
717,,North Ridgeville,False,660
718,OH,North Ridgeville,False,660
719,,Summerlin,,659
720,NV,Summerlin,,659
721,,Summerlin,False,659
722,NV,Summerlin,False,659
723,,Waunakee,,653
724,WI,Waunakee,,653
725,,Gibsonia,,652
726,PA,Gibsonia,,652
727,,Olmsted Falls,False,651
728,OH,Olmsted Falls,False,651
729,,Waunakee,False,648
730,WI,Waunakee,False,648
731,,West Homestead,,645
732,PA,West Homestead,,645
733,,Warrensville Heights,,641
734,OH,Warrensville Heights,,641
735,,Gibsonia,False,640
736,PA,Gibsonia,False,640
737,,West Homestead,False,634
738,PA,West Homestead,False,634
739,,Warrensville Heights,False,633
740,OH,Warrensville Heights,False,633
741,,South Las Vegas,,620
742,NV,South Las Vegas,,620
743,,South Las Vegas,False,615
744,NV,South Las Vegas,False,615
745,OH,Eastlake,,610
746,,Eastlake,,610
747,,Oregon,,606
748,WI,Oregon,,606
749,,Whitchurch-Stouffville,,600
750,ON,Whitchurch-Stouffville,,600
751,,Mount Holly,,598
752,NC,Mount Holly,,598
753,ON,North York,True,597
754,,North York,True,597
755,,Eastlake,False,595
756,OH,Eastlake,False,595
757,,North Las Vegas,True,594
758,NV,North Las Vegas,True,594
759,,Oregon,False,593
760,WI,Oregon,False,593
761,,Mount Horeb,,590
762,WI,Mount Horeb,,590
763,NC,Mount Holly,False,589
764,,Seven Hills,,589
765,,Mount Holly,False,589
766,OH,Seven Hills,,589
767,,Whitchurch-Stouffville,False,588
768,ON,Whitchurch-Stouffville,False,588
769,PA,Bellevue,,581
770,WI,Mount Horeb,False,581
771,,Mount Horeb,False,581
772,,Bellevue,,581
773,OH,Parma Heights,,579
774,,Parma Heights,,579
775,,Irwin,,578
776,PA,Irwin,,578
777,PA,New Kensington,,575
778,,New Kensington,,575
779,,Clover,,575
780,SC,Clover,,575
781,OH,Seven Hills,False,571
782,,Seven Hills,False,571
783,,Irwin,False,569
784,PA,Irwin,False,569
785,,Clover,False,568
786,SC,Clover,False,568
787,PA,Bellevue,False,563
788,,Bellevue,False,563
789,,Parma Heights,False,559
790,OH,Parma Heights,False,559
791,PA,New Kensington,False,554
792,,New Kensington,False,554
793,,Peoria,True,549
794,AZ,Peoria,True,549
795,,Scarborough,True,547
796,ON,Scarborough,True,547
797,,McKees Rocks,,547
798,PA,McKees Rocks,,547
799,ON,Maple,,543
800,,Maple,,543
801,,Maple,False,532
802,ON,Maple,False,532
803,,McKees Rocks,False,531
804,PA,McKees Rocks,False,531
805,OH,Brook Park,,525
806,,Brook Park,,525
807,OH,Willowick,,524
808,,Willowick,,524
809,OH,Willowick,False,513
810,,Willowick,False,513
811,ON,Missisauga,,511
812,,Missisauga,,511
813,,Glenshaw,,510
814,PA,Glenshaw,,510
815,OH,Brook Park,False,509
816,,Brook Park,False,509
817,ON,Missisauga,False,501
818,,Missisauga,False,501
819,,Bedford,,499
820,,Glenshaw,False,498
821,PA,Glenshaw,False,498
822,ON,Vaughan,True,494
823,,Vaughan,True,494
824,,Outremont,,492
825,QC,Outremont,,492
826,OH,Bedford,,492
827,,Bedford,False,482
828,,Outremont,False,476
829,QC,Outremont,False,476
830,OH,Bedford,False,475
831,,Pleasant Hills,,459
832,PA,Pleasant Hills,,459
833,,Stouffville,,458
834,ON,Stouffville,,458
835,PA,Pleasant Hills,False,454
836,,Pleasant Hills,False,454
837,,Shaker Heights,,453
838,OH,Shaker Heights,,453
839,,Stallings,,449
840,NC,Stallings,,449
841,,Willoughby Hills,,448
842,OH,Willoughby Hills,,448
843,NV,Las  Vegas,,444
844,,Las  Vegas,,444
845,,Lasalle,,443
846,,Stouffville,False,443
847,ON,Stouffville,False,443
848,QC,Lasalle,,443
849,,Richfield,,441
850,OH,Richfield,,441
851,OH,Willoughby Hills,False,440
852,,Willoughby Hills,False,440
853,,Lasalle,False,439
854,OH,Richfield,False,439
855,OH,Wickliffe,,439
856,,Wickliffe,,439
857,,Richfield,False,439
858,QC,Lasalle,False,439
859,,Mooresville,,435
860,,Wesley Chapel,,435
861,NC,Wesley Chapel,,435
862,NC,Mooresville,,435
863,NC,Stallings,False,430
864,,Stallings,False,430
865,PA,Verona,,429
866,NC,Wesley Chapel,False,427
867,,Wesley Chapel,False,427
868,,Shaker Heights,False,426
869,OH,Shaker Heights,False,426
870,AZ,Avondale,True,424
871,,Avondale,True,424
872,,Blue Diamond,,424
873,NV,Blue Diamond,,424
874,,Mooresville,False,422
875,NC,Mooresville,False,422
876,AZ,Sun City West,,421
877,,Sun City West,,421
878,AZ,Sun City West,False,420
879,,Sun City West,False,420
880,QC,Longueuil,,419
881,,Longueuil,,419
882,OH,Peninsula,,418
883,,Peninsula,,418
884,,Blue Diamond,False,415
885,NV,Blue Diamond,False,415
886,,Wickliffe,False,414
887,OH,Wickliffe,False,414
888,QC,Longueuil,False,412
889,,Longueuil,False,412
890,,Peninsula,False,411
891,OH,Peninsula,False,411
892,,Matthews,True,409
893,NC,Matthews,True,409
894,PA,Verona,False,408
895,SC,,True,406
896,OH,Tallmadge,,404
897,,Tallmadge,,404
898,,Las  Vegas,False,402
899,NV,Las  Vegas,False,402
900,,Robinson Township,,400
901,PA,Robinson Township,,400
902,PA,Robinson Township,False,398
903,,Robinson Township,False,398
904,,Bay Village,,395
905,OH,Bay Village,,395
906,OH,Tallmadge,False,391
907,,Tallmadge,False,391
908,,Bay Village,False,387
909,OH,Bay Village,False,387
910,,Savoy,,383
911,IL,Savoy,,383
912,NC,Cramerton,,380
913,,Cramerton,,380
914,,Concord,True,380
915,NC,Cramerton,False,379
916,,Cramerton,False,379
917,,Savoy,False,375
918,IL,Savoy,False,375
919,PA,Mt. Lebanon,,372
920,,Mt. Lebanon,,372
921,,Saint-Sauveur,,371
922,QC,Saint-Sauveur,,371
923,PA,Mt. Lebanon,False,370
924,,Mt. Lebanon,False,370
925,,Saint-Sauveur,False,368
926,QC,Saint-Sauveur,False,368
927,QC,Pierrefonds,,363
928,,Pierrefonds,,363
929,,DeForest,,360
930,WI,DeForest,,360
931,PA,Tarentum,,355
932,,Tarentum,,355
933,,Mahomet,,354
934,IL,Mahomet,,354
935,,DeForest,False,351
936,PA,Tarentum,False,351
937,WI,DeForest,False,351
938,,Tarentum,False,351
939,QC,Lachine,,350
940,,Lachine,,350
941,ON,Brampton,True,348
942,,Brampton,True,348
943,QC,Pierrefonds,False,347
944,,Pierrefonds,False,347
945,IL,Mahomet,False,344
946,,Mahomet,False,344
947,AZ,Higley,False,342
948,AZ,Higley,,342
949,,Higley,,342
950,,Higley,False,342
951,,Blakeney,,339
952,NC,Blakeney,,339
953,NC,Blakeney,False,338
954,,Blakeney,False,338
955,,Lachine,False,335
956,QC,Lachine,False,335
957,,McKeesport,,329
958,PA,McKeesport,,329
959,,Lakewood,True,328
960,OH,Lakewood,True,328
961,PA,McKeesport,False,326
962,,McKeesport,False,326
963,PA,Lower Lawrenceville,,323
964,AZ,Surprise,True,323
965,,Lower Lawrenceville,,323
966,,Surprise,True,323
967,PA,Lower Lawrenceville,False,322
968,,Lower Lawrenceville,False,322
969,NV,N. Las Vegas,False,319
970,,N. Las Vegas,False,319
971,NV,N. Las Vegas,,319
972,,N. Las Vegas,,319
973,OH,Tremont,,316
974,,Tremont,,316
975,OH,Moreland Hills,,313
976,,Moreland Hills,,313
977,IL,Rantoul,,312
978,,Rantoul,,312
979,OH,Tremont,False,311
980,,Tremont,False,311
981,,Bolton,,309
982,ON,Bolton,,309
983,IL,Rantoul,False,309
984,,Rantoul,False,309
985,OH,Moreland Hills,False,308
